Name;TOA (UTC+3);TOA (UTC+0);Illuminated;RTC;OBC On/Off;RM0 On/Off;RM1 On/Off;OSS On/Off;Sensors On/Off;SDR On/Off;N/A 0;N/A 1;Guard flag OBC;Guard flag RM0;Guard flag RM1;Guard flag OSS;Guard flag Sensors;Guard flag SDR;N/A 2;N/A 3;System Bus Voltage [mV];System Bus Current [mA];BA Charge [mA/h];Current on OBC [mA];Current on RM1 [mA];Current on RМ2 [mA];Current on OSS [mA];Current on Sensors [mA];Current on SDR [mA];Min Temp BA [C];Max Temp BA [C];Current from SP1 [mA];Current from SP2 [mA];Current from SP3 [mA];Current from SP4 [mA];Bus voltage SP;BA discharge On/Off 72;BA discharge On/Off 73;BA discharge On/Off 74;BA discharge On/Off 75;BA discharge On/Off 76;BA discharge On/Off 77;N/A 4;N/A 5;BA charge On/Off 72;BA charge On/Off 73;BA charge On/Off 74;BA charge On/Off 75;BA charge On/Off 76;BA charge On/Off 77;N/A 6;N/A 7;BA Charge %;Packet (HEX)
Polytech_U1;2022-08-23-15:36:07;2022-08-23-12:36:07;0;69020;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7250;-100;800;0;0;80;0;0;0;-3;-2;0;0;0;0;75;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;25;01027ec024a810863a62a5047ae70093ff0a9c0d01040091fe08000004000000fdfe00000000033c3c19
Polytech_U1;2022-08-23-15:36:07;2022-08-23-12:36:07;0;69020;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7250;-100;800;0;0;80;0;0;0;-3;-2;0;0;0;0;75;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;25;01027ec024a810863a62a5047ae70093ff0a9c0d01040091fe08000004000000fdfe00000000033c3c19
Polytech_U1;2022-08-23-15:36:07;2022-08-23-12:36:07;0;69020;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7250;-100;800;0;0;80;0;0;0;-3;-2;0;0;0;0;75;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;25;01027ec024a810863a62a5047ae70093ff0a9c0d01040091fe08000004000000fdfe00000000033c3c19
Polytech_U1;2022-08-23-15:37:04;2022-08-23-12:37:04;0;69075;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7250;-100;800;0;0;80;0;0;0;-3;-2;0;0;0;0;75;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;25;01027ec024f149863a62a60412e90093ff0ad30d01040091fe08000004000000fdfe00000000033c3c19
Polytech_U1;2022-08-23-15:37:04;2022-08-23-12:37:04;0;69075;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7250;-100;800;0;0;80;0;0;0;-3;-2;0;0;0;0;75;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;25;01027ec024f149863a62a60412e90093ff0ad30d01040091fe08000004000000fdfe00000000033c3c19
Polytech_U1;2022-08-23-15:37:04;2022-08-23-12:37:04;0;69075;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7250;-100;800;0;0;80;0;0;0;-3;-2;0;0;0;0;75;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;25;01027ec024f149863a62a60412e90093ff0ad30d01040091fe08000004000000fdfe00000000033c3c19
Polytech_U1;2022-08-23-16:09:07;2022-08-23-13:09:07;1;71003;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7400;450;800;0;0;60;0;0;0;-4;0;40;80;780;0;4900;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;50;01027ec024fecf8d3a62c804421f019fff0a5b15010400940908000003000000fc0002042700c43c3c32
Polytech_U1;2022-08-23-16:09:07;2022-08-23-13:09:07;1;71003;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7400;450;800;0;0;60;0;0;0;-4;0;40;80;780;0;4900;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;50;01027ec024fecf8d3a62c804421f019fff0a5b15010400940908000003000000fc0002042700c43c3c32
Polytech_U1;2022-08-23-16:09:07;2022-08-23-13:09:07;1;71003;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7400;450;800;0;0;60;0;0;0;-4;0;40;80;780;0;4900;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;50;01027ec024fecf8d3a62c804421f019fff0a5b15010400940908000003000000fc0002042700c43c3c32
Polytech_U1;2022-08-23-16:16:35;2022-08-23-13:16:35;1;71458;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7450;400;900;0;0;60;0;0;0;-3;0;360;40;300;140;4875;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;5;01027ec024dc958f3a62d004022c0196ff0a2217010400950809000003000000fd0012020f07c33c3c05
